kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3128552,K02055.04,,CANDIDATE,CANDIDATE,,0,0,0,0,6.13074243,131.85782,0.9407,2.84,146.1,1.26,916,166.78,9.9,4,q1_q12_tce,5741,4.556,0.833,294.15271,38.23304,14.523
10134152,K02056.01,Kepler-1787 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,39.3134832,154.93919,0.1576,4.8901,529.7,2.14,540,20.04,35.3,1,q1_q12_tce,6060,4.509,0.925,289.06433,47.11742,14.476
9573685,K02057.01,Kepler-1074 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,5.94566534,133.99298,0.5621,2.1737,461.3,1.16,548,21.26,31.5,1,q1_q12_tce,3900,4.726,0.537,284.47653,46.252579,15.026
10329835,K02058.01,Kepler-1075 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,1.52372816,131.61924,0.9137,1.4652,382.4,1.38,862,130.37,33.5,1,q1_q12_tce,3900,4.726,0.537,287.50116,47.469269,15.313
12301181,K02059.01,Kepler-1076 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,6.14727918,134.87409,0.159,2.7627,125.8,0.81,770,83.12,27.9,1,q1_q12_tce,4996,4.598,0.746,287.59009,51.06057,12.906
3629967,K01901.01,Kepler-1775 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,85.6535849,155.12743,0.0491,6.877,488.7,2.21,430,8.08,39.5,1,q1_q12_tce,6092,4.471,0.998,286.40231,38.738541,13.34
5809954,K01902.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,137.8645383,172.81113,1.5526,1.966,2380,30.13,176,0.23,28.1,1,q1_q12_tce,3763,4.785,0.457,296.87683,41.080582,14.645
3836453,K01903.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,1.540395665,131.996457,0.2205,1.7894,228.6,1.09,1212,510.38,121.7,,,4952,4.589,0.736,286.95236,38.918331,12.057
8766650,K01904.01,Kepler-1008 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,12.43931193,136.37781,0.1154,3.121,282.1,2.83,927,174.46,44.7,1,q1_q12_tce,5108,3.924,1.726,296.54752,44.941929,13.395
10328393,K01905.01,Kepler-332 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,7.62634063,136.01653,0.0436,2.4165,299.5,1.45,792,93.25,32.9,1,q1_q12_tce,5141,4.472,0.861,286.66296,47.4137,14.017
9892816,K01955.01,Kepler-342 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,15.17026179,132.6648,0.0711,3.9983,234.6,1.82,868,134.29,46.8,1,q1_q12_tce,6475,4.375,1.178,292.67807,46.726711,13.147
5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,15.03946291,144.137008,0.9066,5.1003,5609.2,12.72,956,197.8,480.8,,,6493,4.22,1.424,294.73282,40.150341,11.997
5801571,K00225.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,0.838597488,141.537796,1.2529,1.70499,2703.5,31.69,2013,3883.49,323.8,,,6253,4.503,0.927,294.9133,41.074711,14.784
9892816,K01955.02,Kepler-342 d,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,39.4571522,136.48487,0.9635,9.619,234.3,2.32,631,37.52,40.3,2,q1_q12_tce,6475,4.375,1.178,292.67807,46.726711,13.147
9892816,K01955.03,Kepler-342 e,CONFIRMED,CANDIDATE,,0,0,0,0,1.644224613,131.75113,0.3188,2.7822,48.5,0.83,1820,2595.74,21.5,4,q1_q12_tce,6475,4.375,1.178,292.67807,46.726711,13.147
9892816,K01955.04,Kepler-342 c,CONFIRMED,CANDIDATE,,0,0,0,0,26.2348478,141.99058,0.0381,2.571,180.1,1.59,723,64.69,19.6,3,q1_q12_tce,6475,4.375,1.178,292.67807,46.726711,13.147
